ts_code,metric_name,ann_date,industry,name,end_date,netprofit_margin_slope,netprofit_margin_log_slope,netprofit_margin_r_squared,netprofit_margin_p_value,netprofit_margin_cagr_approx,netprofit_margin_cagr,netprofit_margin_trend_direction,netprofit_margin_cv,netprofit_margin_std_dev,netprofit_margin_volatility_type,netprofit_margin_volatility_regime,netprofit_margin_has_deterioration,netprofit_margin_deterioration_severity,netprofit_margin_total_decline_pct,netprofit_margin_has_inflection,netprofit_margin_inflection_type,netprofit_margin_slope_change,netprofit_margin_is_cyclical,netprofit_margin_current_phase,netprofit_margin_cycle_position,netprofit_margin_is_accelerating,netprofit_margin_is_decelerating,netprofit_margin_recent_3y_slope,netprofit_margin_robust_slope,netprofit_margin_mk_tau,netprofit_margin_mk_p_value,netprofit_margin_weighted_avg,netprofit_margin_latest_value,netprofit_margin_latest_vs_weighted_ratio,netprofit_margin_full_data_years,netprofit_margin_trend_window_years,netprofit_margin_has_structural_break,netprofit_margin_break_year_index,netprofit_margin_data_regime
000009.SZ,net_margin,20250416.0,电气设备,中国宝安,20241231,-1.44973,-0.1883724570216985,0.9246348707519302,0.008987975556655202,-0.15645270551470924,-0.15645270551470924,down,0.31049555048500566,2.3841773438651743,ultra_stable,stable,False,none,-33.83077481589046,False,none,-1.2469499999999991,False,falling,mid_down,False,True,-0.20383392563914327,-1.4195583333333333,-1.0,0.02748633611151033,7.243701000000001,5.1035,0.7045431610167233,10,5,False,,stable
000020.SZ,net_margin,20250422.0,元器件,深华发A,20241231,0.5140699999999999,0.23625194364480478,0.9007992509506824,0.0136776035551281,0.4609779134841654,0.4609779134841654,up,0.7505553851704637,1.469182144255776,volatile,increasing_vol,False,none,195.11907104900607,False,none,2.3936499999999996,False,rising,top,True,False,0.5004274892486075,0.515725,0.8,0.0864107329737,2.194997,4.4985,2.04943332496582,10,5,False,,stable
000021.SZ,net_margin,20250425.0,元器件,深科技,20241231,0.26543,0.04123599109657985,0.10069561891100426,0.6028553278645677,0.035965456860845846,0.035965456860845846,up,0.20442643010094552,1.1780481887427188,stable,stable,False,none,71.63550417709968,True,deterioration_to_recovery,2.8398999999999996,False,rising,top,True,False,0.26570033374836166,0.3010624999999999,0.2,0.8064959405073401,5.895415,7.3345,1.244102408397034,10,5,False,,stable
000034.SZ,net_margin,20250329.0,软件服务,神州数码,20241231,0.06614000000000002,0.039919466120042366,0.11296784093738207,0.5802551116880611,-0.02748033977789377,-0.02748033977789377,up,0.45781507149298867,0.310481025185115,volatile,decreasing_vol,True,severe,-32.170022371364645,False,none,0.32999999999999996,False,falling,mid_down,False,False,-0.11504770643334833,0.10912500000000003,0.2,0.8064959405073401,0.698022,0.6064,0.8687405268028802,10,5,False,,stable
000045.SZ,net_margin,20250328.0,元器件,深纺织A,20241231,0.53068,0.1435725847038794,0.7954026627546367,0.0419932064007919,0.20086886508937418,0.20086886508937418,up,0.2574428063130258,0.911028305268283,ultra_stable,decreasing_vol,False,none,8.887817014038747,True,worsening,-1.0372499999999998,False,rising,mid_up,False,True,0.04136609334089392,0.49168749999999994,1.0,0.02748633611151033,3.697964,4.2892,1.1598814915450772,10,5,False,,stable
000049.SZ,net_margin,20250422.0,电气设备,德赛电池,20241231,-0.63421,-0.190978763175255,0.7504869058302088,0.05749003830459644,-0.21837693882777798,-0.21837693882777798,down,0.36427836810402076,1.1479577069735627,stable,increasing_vol,True,moderate,-63.65399336565451,False,none,-1.5086000000000004,False,falling,bottom,False,False,-0.46139736318910973,-0.6885625000000001,-0.6,0.22067136191984693,2.9610570000000003,1.4244,0.481044437847701,10,5,False,,stable
000050.SZ,net_margin,20250315.0,元器件,深天马A,20241231,-2.5600699999999996,-0.19528336704015342,0.8001709958621191,0.04046491122351994,,,down,14.984418613082047,4.886718598098319,high_volatility,increasing_vol,False,none,-702.1586931155193,False,none,6.82455,False,rising,mid_up,False,False,-0.9042007832594521,-2.327025,-0.8,0.0864107329737,-0.44190099999999977,-2.0642,0.21407857765720364,10,5,False,,stable
000062.SZ,net_margin,20250314.0,元器件,深圳华强,20241231,-0.82086,-0.21478987293494956,0.7462509280398105,0.059053755043849826,-0.271413756671251,-0.271413756671251,down,0.4243799726784607,1.4777844284603896,moderate,increasing_vol,True,moderate,-72.46219344538561,False,none,-1.4965000000000004,False,falling,bottom,False,True,-0.5844742279552992,-0.8651625,-0.6,0.22067136191984693,3.2359620000000007,1.2419,0.38378077369264524,10,5,False,,stable
000066.SZ,net_margin,20250428.0,IT设备,中国长城,20241231,-4.3928400000000005,-0.3122614493490623,0.890444023082287,0.01592795517289779,,,down,8.167410504022014,7.111364325851968,high_volatility,increasing_vol,True,severe,-723.0239910730891,False,none,-0.9840500000000008,False,falling,bottom,False,True,-2.12954590062442,-4.307166666666667,-1.0,0.02748633611151033,-2.1885520000000005,-10.05,0.21776636815920403,10,5,False,,stable
000100.SZ,net_margin,20250429.0,元器件,TCL科技,20241231,-2.46601,-0.13410152002175496,0.701489597083299,0.07665457800485705,,,down,1.3458503952634526,4.588434669579595,high_volatility,decreasing_vol,True,severe,-334.8733233979135,False,none,-4.3386000000000005,False,falling,bottom,False,True,-1.293847270174938,-2.5240125,-0.6,0.22067136191984693,2.669517000000001,-2.5216,-0.9445903509885867,10,5,False,,stable
