ts_code,metric_name,ann_date,name,industry,end_date,total_revenue_ps_slope,total_revenue_ps_log_slope,total_revenue_ps_r_squared,total_revenue_ps_p_value,total_revenue_ps_cagr_approx,total_revenue_ps_cagr,total_revenue_ps_trend_direction,total_revenue_ps_cv,total_revenue_ps_std_dev,total_revenue_ps_volatility_type,total_revenue_ps_volatility_regime,total_revenue_ps_has_deterioration,total_revenue_ps_deterioration_severity,total_revenue_ps_total_decline_pct,total_revenue_ps_has_inflection,total_revenue_ps_inflection_type,total_revenue_ps_is_cyclical,total_revenue_ps_current_phase,total_revenue_ps_cycle_position,total_revenue_ps_is_accelerating,total_revenue_ps_is_decelerating,total_revenue_ps_recent_3y_slope,total_revenue_ps_robust_slope,total_revenue_ps_mk_tau,total_revenue_ps_mk_p_value,total_revenue_ps_weighted_avg,total_revenue_ps_latest_value,total_revenue_ps_latest_vs_weighted_ratio,total_revenue_ps_full_data_years,total_revenue_ps_trend_window_years,total_revenue_ps_has_structural_break,total_revenue_ps_break_year_index,total_revenue_ps_data_regime
000009.SZ,revenue,20250416.0,中国宝安,电气设备,20241231,1.2497500000000001,0.18128120549557902,0.41337617559921164,0.24192960374598502,0.173615229345792,0.173615229345792,up,0.40646636877956027,3.506105733146107,moderate,decreasing_vol,True,severe,-36.84498695610165,False,none,False,falling,mid_down,False,True,-0.22857788920677002,1.733425,0.4,0.4624327264504764,9.000745000000002,7.8436,0.8714389753292643,10,5,False,,stable
000020.SZ,revenue,20250422.0,深华发A,元器件,20241231,0.07445999999999997,0.026175149967997392,0.2954768163158707,0.34367647308972005,0.042389242402236516,0.042389242402236516,up,0.08217713363373602,0.2127270152096344,ultra_stable,stable,False,none,22.914979757085025,False,none,False,rising,top,False,False,0.09625684260866996,0.08522916666666662,0.4,0.4624327264504764,2.62587,2.8842,1.0983788230186566,10,5,False,,stable
000021.SZ,revenue,20250425.0,深科技,元器件,20241231,-0.2769000000000002,-0.028010932640238906,0.535988779391044,0.15958473180707802,-0.016942318359813524,-0.016942318359813524,down,0.06010116888904192,0.5975077907441881,ultra_stable,increasing_vol,False,none,-8.01092134309284,False,none,False,rising,mid_up,False,False,-0.04153880687022049,-0.2905833333333335,-0.4,0.4624327264504764,9.803249999999998,9.501,0.9691683880345805,10,5,False,,stable
000034.SZ,revenue,20250329.0,神州数码,软件服务,20241231,1.2365200000000016,0.0065339123029724,0.07673307727543681,0.6518672546678419,0.08214968981852744,0.08214968981852744,up,0.11644923961530892,20.220893424574502,ultra_stable,decreasing_vol,False,none,10.415985260278495,False,none,False,rising,mid_up,False,True,0.04954161796999346,10.89245000000001,0.6,0.22067136191984693,178.50015,191.4113,1.0723313117664048,10,5,False,,stable
000045.SZ,revenue,20250328.0,深纺织A,元器件,20241231,0.6414299999999998,0.11940759165119,0.965879982288412,0.002702762143819429,0.12210386603092327,0.12210386603092327,up,0.19057522551972875,1.027181408028786,ultra_stable,stable,False,none,17.52306841100144,False,none,False,rising,mid_up,False,True,0.07965546054010497,0.6250291666666665,1.0,0.02748633611151033,5.710615,6.5847,1.15306319897244,10,5,False,,stable
000049.SZ,revenue,20250422.0,德赛电池,电气设备,20241231,-9.08788,-0.129841081377238,0.7643200686019649,0.052506021751021245,-0.1275923613146901,-0.1275923613146901,down,0.24634429782372017,16.6564268176581,stable,decreasing_vol,False,none,-25.34881672117788,False,none,False,rising,mid_up,False,False,-0.14615309242597574,-9.5273375,-0.6,0.22067136191984693,63.07048,54.2308,0.8598444153271071,10,5,False,,stable
000050.SZ,revenue,20250315.0,深天马A,元器件,20241231,0.1354800000000001,0.010163387077585817,0.4571902238545557,0.2101459365184962,0.03460633865152807,0.03460633865152807,up,0.04920275847389582,0.6337148002058971,ultra_stable,stable,False,none,6.508690759034644,False,none,False,rising,top,False,False,0.0314381232084453,0.4142500000000001,0.8,0.0864107329737,13.06204,13.628,1.0433286071700898,10,5,False,,stable
000062.SZ,revenue,20250314.0,深圳华强,元器件,20241231,-0.2996100000000002,-0.014337870536146768,0.1686906719164708,0.49215456166386384,0.07677357193061307,0.07677357193061307,down,0.13963143106372405,2.8211804562983915,stable,decreasing_vol,False,none,-8.301733477789806,False,none,False,rising,mid_up,False,True,-0.043288274907386404,1.1763499999999993,0.2,0.8064959405073401,20.63467,20.9901,1.017224893831595,10,5,False,,stable
000066.SZ,revenue,20250428.0,中国长城,IT设备,20241231,-0.1276600000000001,-0.027164349819234213,0.4817167785558415,0.19354504752855878,-0.028045528021213628,-0.028045528021213628,down,0.1604107227474378,0.7666349261545549,stable,decreasing_vol,False,none,1.2510060940554268,False,none,False,rising,mid_up,False,False,0.00605998180877676,-0.2229666666666663,-0.4,0.4624327264504764,4.631615,4.4029,0.9506187366609703,10,5,False,,stable
000100.SZ,revenue,20250429.0,TCL科技,元器件,20241231,-0.10100000000000016,-0.011111398487018587,0.22447589301460788,0.42015083491454325,0.12542389397361164,0.12542389397361164,down,0.25006611191438577,2.249439701792427,moderate,decreasing_vol,False,none,-10.001434338052992,True,growth_to_decline,False,falling,mid_down,False,True,-0.0523830865865631,-0.4796499999999999,-0.2,0.8064959405073401,9.122577,8.7844,0.9629296634054172,10,5,False,,stable
