ts_code,name,industry,symbol,area,list_date,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy,update_flag,size_class
000009.SZ,中国宝安,电气设备,9,深圳,19910625,20160429.0,20151231,0.5,0.5,3.0748,3.0559,0.3005,0.1633,1.2503,787595249.85,-37100724.89,1627324243.27,1.5208,0.767,0.7197,5.4957,0.4317,2.5059,0.2981,127286786.62,1439141414.41,1660000657.2,-600665227.7543,1424055393.7157,3429295477.45,285639686.61,7845415363.0,4002658233.98,3386877615.1,4292424071.82,5262416023.8,14398998041.71,2250697212.9,0.4714,2.7848,0.0079,1.4137,1.0782,0.9039,-0.3773,0.8944,19.061,33.4472,66.5528,26.6969,18.944,10.8195,10.6685,5.045,2.4793,97.3999,22.4664,29.3978,19.4651,19.7,-0.9623,8.7647,5.648,8.7615,19.4651,8.7647,63.8202,2.764,4.2587,69.1979,30.8021,18.6976,54.4858,30.7913,71.2958,28.7042,0.0015,1.764,0.3835,0.5651,0.293,0.4317,0.8462,0.0011,752.1356,5.648,4.5707,2990916194.5,24.2354,11.1596,96.7552,1.5873,0.2063,0.5065,22.6936,150.0,150.0,-97.4944,101.1068,101.6069,147.4226,63.0586,-97.3482,82.9052,27.8957,23.0107,35.2737,13.5435,12.8465,5.1152,-92.8186,35.2737,1,large
000009.SZ,中国宝安,电气设备,9,深圳,19910625,20170427.0,20161231,0.11,0.11,3.0007,2.9831,0.1521,0.121,0.7977,247872672.59,-14488805.41,1966059779.72,1.4137,0.6328,0.5263,5.2849,0.4843,2.4612,0.3246,70437547.77,909792992.96,1204220001.97,-4128382561.7536,-2787670557.7136,2882860935.79,1433696097.65,9171630959.6,7203700748.88,2765226279.19,4126496622.96,9249342490.28,17306368807.76,1974606717.06,0.1086,2.0809,-0.0057,0.9187,-0.8364,0.4233,-1.9208,-1.297,6.5424,30.6634,69.3366,26.8931,6.5041,9.5016,11.5488,5.6851,1.4962,98.9079,6.9948,14.1064,5.2409,5.2,-0.3254,4.5791,2.1113,4.444,5.2409,4.5791,62.3791,2.6581,4.4616,65.2092,34.7908,12.7884,52.9957,25.8441,73.9435,26.0565,-0.0012,1.6581,0.3316,0.4877,0.205,0.3015,0.3839,-0.0009,635.0477,2.1113,1.1746,3528140762.04,8.3995,10.0785,103.4732,0.5109,-0.8439,0.2581,-1.6952,-68.5714,-68.5714,-172.1519,-58.9813,-54.3392,-68.9027,-436.63,-196.6254,-69.1741,-25.2765,19.3718,0.8804,31.7462,31.7839,28.1768,-75.793,0.8804,1,large
000009.SZ,中国宝安,电气设备,9,深圳,19910625,20180428.0,20171231,0.06,0.06,3.2897,3.2677,0.3658,0.121,0.8397,215421711.84,-82217874.61,2367983315.29,1.6416,0.8266,0.7524,4.0205,0.4376,2.1096,0.2902,-74009273.11,795141732.07,1228477961.82,-111287337.8471,1501516607.9029,4396408348.64,1522695854.74,11244455278.78,7307184180.08,2824524956.18,7119408757.65,9881202655.78,21190360706.75,2064823654.87,0.062,2.3261,0.1819,0.9607,0.8774,0.3699,-0.0518,0.6986,4.6024,33.7151,66.2849,30.4036,4.5716,10.7615,13.0275,6.4112,3.2315,101.0467,5.0528,11.2454,2.8125,2.88,-1.736,3.2633,1.3266,3.5189,2.8125,3.2633,63.3121,2.7257,5.1448,67.1901,32.8099,10.419,53.064,23.5935,64.6455,35.3545,0.0352,1.7257,0.2913,0.4446,0.1646,0.2512,0.3865,0.0228,740.3003,1.3266,0.5467,4552580880.04,5.3668,13.2072,110.6205,-0.9798,-2.1141,-0.1762,15.9448,-45.4545,-45.4545,3291.2281,-20.8994,-29.9513,-42.925,-467.46,3314.2599,-48.9398,11.7834,25.3737,11.7798,9.6332,9.5413,-3.2537,-131.5498,11.7798,1,large
000009.SZ,中国宝安,电气设备,9,深圳,19910625,20190430.0,20181231,0.1,0.1,5.4752,5.4508,0.3841,0.121,0.9191,-13519808.24,227300392.87,4334380694.65,1.5661,0.8225,0.7514,4.7627,0.6137,2.9796,0.4132,1019386722.39,1474389628.02,1974952903.09,1660723866.5963,1265570114.2663,7278656161.16,1266012563.37,10854585355.45,6143745364.06,2945813216.59,7277896255.52,8145521729.13,21305132381.87,2235617340.08,0.0995,2.4522,1.2668,1.0401,0.3917,0.686,0.7727,0.5888,5.6768,36.9968,63.0032,22.5043,5.6515,9.2387,9.3873,3.7779,2.5894,91.3377,9.114,12.5287,4.1632,4.18,4.4264,5.177,2.3352,4.4594,4.1632,5.177,64.9896,2.8563,5.5461,67.4544,32.5456,9.8688,50.9482,24.7386,66.2764,33.7236,0.2118,1.8563,0.2717,0.4856,0.1519,0.2714,0.4795,0.1404,529.2164,2.3352,0.7506,5622074803.15,8.794,8.0926,87.7456,2.2236,2.675,1.383,13.1567,66.6667,66.6667,596.4266,200.2019,172.7157,60.4913,376.46,596.5444,52.2382,5.4211,10.1084,5.4212,66.432,66.8047,135.598,9654.7753,5.4212,1,large
000009.SZ,中国宝安,电气设备,9,深圳,19910625,20200429.0,20191231,0.1168,0.1168,4.6543,4.6327,0.1647,0.1077,0.8685,353434143.02,-52297846.54,4195066991.79,1.6002,0.857,0.7501,4.9914,0.6028,2.7136,0.3997,592378166.49,1625916626.68,2177278182.32,540760183.4637,1178631209.4037,5837078774.78,1997555514.18,11667580988.71,6174656494.1,3237911248.61,7387089113.13,8365643954.46,22375171307.01,2517987619.24,0.1168,2.146,0.5187,0.9763,0.264,0.6304,0.2097,0.457,5.9576,35.1089,64.8911,23.2343,5.93,9.692,9.3792,4.0554,-1.9482,95.0653,9.5633,13.5444,5.5737,5.54,-0.968,5.4143,2.3705,4.5517,5.5737,5.4143,64.5559,2.8213,5.5582,65.1962,34.8038,10.7181,52.1452,24.7372,63.1136,36.8864,0.1087,1.8213,0.2838,0.4744,0.166,0.2775,0.5244,0.0686,506.4346,2.3705,1.0028,5923664744.11,9.6989,9.3702,105.2875,1.839,-3.9361,0.453,-1.6783,50.0,50.0,-59.0543,7.036,12.5041,40.8623,-123.01,-50.8702,34.1332,-12.4867,1.2061,5.0167,2.008,1.9903,-36.9726,-13.0693,5.0167,1,large
000009.SZ,中国宝安,电气设备,9,深圳,19910625,20210327.0,20201231,0.2566,0.2566,4.1344,4.1074,0.4779,0.12,1.089,877911612.95,-216150189.55,3613490550.19,1.832,1.0934,0.9537,5.4205,0.5219,2.3024,0.3436,148606561.86,1877138044.21,2440441850.41,553698792.7126,129395475.3726,5859629776.38,1987277431.2,10764278999.59,4024845906.06,4767287402.43,9613386927.26,8568740697.08,24009708430.35,3118084158.2,0.2566,2.6837,0.254,1.2089,0.448,0.7278,0.2147,0.0502,10.0793,34.1093,65.8907,27.6905,10.0135,11.0582,11.6695,4.7819,-2.4017,98.6064,13.1898,17.6034,10.6249,10.71,-3.4704,6.0488,3.4408,6.0734,10.6249,6.0488,58.4217,2.4051,4.9825,66.4471,33.5529,14.9648,44.833,28.8294,62.0832,37.9168,0.0567,1.4051,0.3719,0.643,0.2562,0.4429,1.1845,0.0352,522.3416,3.4408,2.1324,6112199119.43,13.3446,11.2324,103.0242,2.0484,-1.4,0.7858,-2.0416,116.6667,116.6667,-51.0314,22.5159,22.2206,119.7548,-313.31,-51.0257,75.7246,25.0559,5.4512,25.0564,-11.1698,-11.3391,14.4976,-47.1902,25.0564,1,large
000009.SZ,中国宝安,电气设备,9,深圳,19910625,20220331.0,20211231,0.4015,0.4015,6.8262,6.8057,0.5306,0.1275,1.4529,648157699.8,387441388.95,5044878603.44,1.5479,0.8905,0.7279,6.5705,0.7817,3.6956,0.5108,1156578947.34,2539448313.51,3263425755.05,-2093909193.1556,-1184038249.7956,6974758623.97,2275662939.31,12163937170.98,5581817602.57,5818311486.78,8452291398.08,10322513769.81,27822773639.45,4076306828.0,0.4015,3.1018,-0.1083,1.5804,-0.1092,0.9846,-0.8118,-0.4591,10.0216,28.7401,71.2599,19.8409,9.9915,6.5533,10.8336,2.3944,-1.0846,93.4309,12.2176,14.4235,13.88,13.9,5.1928,7.3682,5.1041,7.9858,13.88,7.3682,57.7624,2.3676,4.6193,64.4115,35.5885,15.6941,43.7194,28.7545,72.0409,27.9591,-0.0181,1.3676,0.3736,0.6577,0.2717,0.4783,1.0424,-0.013,323.5273,5.1041,3.0048,7900513198.59,12.2596,3.3348,100.2188,1.8153,0.2141,0.6745,-3.6304,53.8462,53.8462,-142.6378,52.9385,51.6832,56.4913,279.25,-142.6278,35.3965,15.5792,16.3752,15.58,65.1078,65.6944,47.34,-53.2014,15.58,1,large
000009.SZ,中国宝安,电气设备,9,深圳,19910625,20230415.0,20221231,0.4484,0.4484,12.4196,12.4064,0.5501,0.1275,1.8663,475769744.92,680810615.67,6380837528.49,1.4462,0.9421,0.8184,6.5709,1.0883,5.0045,0.7169,1542128746.29,3299387625.55,4185043828.0,-1708131132.6027,3445572897.3973,12943526870.05,2823314726.91,17683922951.07,7152307723.18,6568542604.66,10794140914.45,11510923380.97,36526468809.12,5142614699.82,0.4484,3.5413,0.1126,1.9939,0.6736,1.2792,-0.6623,1.3359,7.7128,19.9409,80.0591,13.8167,7.7046,3.4875,8.9005,1.4141,-0.5029,95.1858,8.9727,10.3,13.5003,13.49,7.9468,7.3839,5.5233,8.8204,13.5003,7.3839,63.9676,2.7753,5.2157,66.9035,33.0965,12.561,48.414,25.006,72.321,27.679,0.012,1.7753,0.2731,0.5165,0.1964,0.3714,0.9184,0.0087,211.7181,5.5233,2.5884,11738213196.09,8.9574,3.9317,98.7497,6.5526,1.1443,1.7847,5.4472,12.5,12.5,203.9705,33.6182,32.9334,11.6822,75.72,204.0117,-2.1777,14.1692,41.0542,14.1685,81.9397,82.2934,76.7098,54.4733,14.1685,0,large
000009.SZ,中国宝安,电气设备,9,深圳,19910625,20240416.0,20231231,0.2933,0.2933,11.9053,11.9017,0.595,0.1275,2.125,88867412.06,667591931.61,6384322774.51,1.841,1.1707,1.0236,5.4321,0.9607,3.2305,0.5998,1976930123.19,2664471339.56,3827339551.56,1887162028.3876,131705818.7476,10383030133.23,2921258341.08,15772581147.72,6327042646.77,6869576447.97,13219892120.4,9110314519.35,36795737316.53,5809893415.69,0.2933,3.8509,2.3114,2.2526,0.311,1.0331,0.7317,0.0511,5.4759,20.7978,79.2022,12.694,5.4743,3.1005,8.3035,1.2861,-1.1165,93.5618,7.2032,8.6772,7.9352,7.91,7.003,5.2044,3.2833,5.4442,7.9352,5.2044,58.0376,2.3831,5.3705,57.7622,42.2378,13.7117,42.8652,26.9928,54.0601,45.9399,0.3793,1.3831,0.3416,0.6297,0.2363,0.4355,1.0857,0.205,234.6701,3.2833,1.4776,14866240576.24,7.308,4.0709,96.9189,0.7882,1.0082,0.3815,32.9161,-35.5556,-35.5556,1952.7531,-23.0455,-21.7917,-34.6255,-2.02,1952.3786,-39.8733,8.7426,-4.3737,8.7279,-4.1408,-4.0677,-34.986,-53.4092,8.7279,1,large
000009.SZ,中国宝安,电气设备,9,深圳,19910625,20250416.0,20241231,0.0669,0.0669,7.8436,7.8427,0.5613,0.1343,2.1402,142959364.01,29665846.39,5517805957.89,1.8074,1.1047,0.8752,4.0747,0.6994,1.6063,0.3895,1159607550.42,1775507889.11,3129383585.21,-4137907319.3267,-1039313806.1367,9828548209.38,3666997440.46,18563445886.37,11098189593.88,6813588881.47,12914010557.57,11614171774.13,40279256915.08,5866453997.66,0.0669,3.8441,0.6445,2.2745,-0.7934,0.6884,-1.6043,-0.403,5.1035,27.2782,72.7218,18.7306,5.1028,5.509,11.6067,1.6125,-1.9964,94.268,7.011,8.7765,1.7396,1.73,0.2989,3.4186,1.9876,3.3755,1.7396,3.4186,59.6171,2.4763,5.2338,53.7575,46.2425,12.6706,46.0869,24.6149,49.8892,50.1108,0.1039,1.4763,0.3093,0.5341,0.2125,0.367,0.6139,0.0519,355.2936,1.9876,0.3324,18470236558.3,6.9648,6.0942,96.9459,-2.1209,-2.0726,0.2176,19.7239,-77.1906,-77.1906,-72.1165,-35.8746,-37.2113,-77.1798,-95.56,-72.1148,-77.1396,-0.1766,7.3349,-0.1761,-34.1169,-34.1049,-9.6411,-42.3042,-0.1761,1,large
